playerId,playerName,season,age,team,position,games,minutesPlayed,total_points,total_assists,total_totalRb,total_offensiveRb,total_defensiveRb,total_steals,total_blocks,total_turnovers,total_personalFouls,total_fieldAttempts,total_fieldGoals,total_threeAttempts,total_threeFg,total_ftAttempts,total_ft,tsPercent,usagePercent,offensiveWS,defensiveWS,winShares,vorp,box
hardeja01,James Harden,2015,25,HOU,SG,81,2981.0,179577,45765,37179,6075,31104,12474,4860,26001,16848,119070,52407,44955,16848,66744,57915,0.605,31.3,12.2,4.2,16.4,8.1,8.8
curryst01,Stephen Curry,2015,26,GSW,PG,80,2613.0,152000,49520,27280,4480,22800,13040,1280,19920,12640,107280,52240,51680,22880,26960,24640,0.638,28.9,11.5,4.1,15.7,7.9,9.9
westbru01,Russell Westbrook,2015,26,OKC,PG,67,2302.0,126362,38458,32696,8308,24388,9380,938,19631,12328,98557,42009,19296,5762,43818,36582,0.536,38.4,7.5,3.2,10.6,5.8,8.1
jamesle01,LeBron James,2015,30,CLE,SF,69,2493.0,120267,35259,28704,3519,25185,7521,3381,18768,9315,88251,43056,23391,8280,36432,25875,0.577,32.3,7.4,2.9,10.4,5.7,7.1
lillada01,Damian Lillard,2015,24,POR,PG,82,2925.0,141040,41574,30996,4018,26978,7954,1722,18204,13448,111520,48380,46904,16072,32636,28208,0.56,26.9,7.3,3.3,10.6,4.9,4.7
thompkl01,Klay Thompson,2015,24,GSW,SG,77,2455.0,128436,17094,19019,2079,16940,6699,4620,11473,9394,100023,46354,41965,18403,19712,17325,0.591,27.6,5.7,3.1,8.8,4.0,4.4
aldrila01,LaMarcus Aldridge,2015,29,POR,PF,71,2512.0,117931,8804,51546,12567,38979,3408,4828,8662,8875,100465,46789,7455,2627,25702,21726,0.528,30.2,4.9,3.7,8.6,3.1,2.9
davisan02,Anthony Davis,2015,21,NOP,PF,68,2455.0,112608,10132,47328,11764,35564,6800,13600,6460,9588,81532,43656,816,68,31348,25228,0.591,27.8,9.9,4.2,14.0,6.7,8.9
irvinky01,Kyrie Irving,2015,22,CLE,PG,75,2730.0,122100,29175,17775,4125,13650,8550,1500,13950,10950,92625,43350,28350,11775,27375,23625,0.583,26.2,8.4,2.0,10.4,4.2,4.1
paulch01,Chris Paul,2015,29,LAC,PG,82,2857.0,128248,68716,30832,4264,26568,12792,1230,15580,16646,95940,46576,28618,11398,26322,23698,0.596,23.7,12.9,3.2,16.1,7.2,8.0
