season,PLAYER_ID,player,team,minutes,impact_off,impact_def,impact_total,sd_off,sd_def,waa_off,waa_def,waa_total,booker_score,booker_off,booker_def,rank
2018,1713,Vince Carter,SAC,881,-0.16,0.75,0.59,1.373,1.503,-0.1,0.47,0.37,0.56,-0.15,0.72,109
2018,1717,Dirk Nowitzki,DAL,1758,2.42,2.21,4.63,1.398,1.402,3.18,2.91,6.09,4.42,2.31,2.11,24
2018,1891,Jason Terry,MIL,738,-0.18,0.14,-0.04,1.17,1.516,-0.1,0.08,-0.02,-0.04,-0.18,0.14,132
2018,1938,Manu Ginobili,SAS,1075,1.18,2.5,3.68,1.493,1.478,0.97,2.04,3.01,3.52,1.13,2.39,47
2018,2037,Jamal Crawford,MIN,1469,-0.73,-0.97,-1.69,1.494,1.436,-0.78,-1.03,-1.81,-1.62,-0.7,-0.92,262
2018,2199,Tyson Chandler,PHO,1024,0.17,1.47,1.65,1.105,1.444,0.14,1.2,1.34,1.57,0.17,1.41,73
2018,2200,Pau Gasol,SAS,1652,1.77,2.11,3.87,1.475,1.418,2.22,2.65,4.87,3.7,1.69,2.01,27
2018,2207,Joe Johnson,UTA,1073,0.86,-0.33,0.53,1.253,1.428,0.68,-0.26,0.42,0.51,0.82,-0.31,104
2018,2216,Zach Randolph,SAC,1364,0.76,-0.12,0.65,1.438,1.391,0.75,-0.12,0.63,0.62,0.73,-0.11,99
2018,2225,Tony Parker,SAS,948,-0.49,-2.01,-2.49,1.432,1.497,-0.35,-1.45,-1.8,-2.38,-0.47,-1.92,259
2018,2403,Nene,HOU,689,0.49,0.71,1.21,1.467,1.551,0.26,0.38,0.64,1.15,0.47,0.68,97
2018,2544,LeBron James,CLE,2681,6.12,2.78,8.9,1.468,1.465,13.09,5.94,19.03,8.51,5.85,2.66,2
2018,2546,Carmelo Anthony,OKC,2249,1.58,0.69,2.27,1.397,1.389,2.71,1.18,3.89,2.17,1.51,0.66,38
2018,2548,Dwyane Wade,CLE,1320,0.74,0.07,0.82,1.484,1.419,0.78,0.08,0.86,0.78,0.71,0.07,84
2018,2561,David West,GSW,958,1.4,1.32,2.71,1.478,1.391,1.0,0.94,1.93,2.59,1.34,1.26,58
2018,2585,Zaza Pachulia,GSW,927,-0.41,1.42,1.02,1.23,1.399,-0.28,0.98,0.7,0.97,-0.39,1.36,95
2018,2594,Kyle Korver,CLE,1349,0.65,-0.31,0.34,1.215,1.4,0.7,-0.34,0.36,0.32,0.62,-0.3,110
2018,2730,Dwight Howard,CHO,2233,-0.15,2.92,2.76,1.38,1.46,-0.25,4.72,4.47,2.64,-0.15,2.79,31
2018,2733,Shaun Livingston,GSW,1029,-0.66,-0.28,-0.94,1.327,1.492,-0.5,-0.21,-0.72,-0.9,-0.63,-0.27,186
2018,2734,Devin Harris,DAL,1142,-0.41,-0.12,-0.54,1.278,1.443,-0.35,-0.1,-0.46,-0.51,-0.4,-0.12,165
2018,2738,Andre Iguodala,GSW,1418,-0.24,-0.01,-0.26,1.163,1.447,-0.26,-0.02,-0.27,-0.25,-0.23,-0.01,150
2018,2744,Al Jefferson,IND,422,-0.11,-0.43,-0.54,1.525,1.445,-0.03,-0.14,-0.17,-0.51,-0.1,-0.41,144
2018,2747,JR Smith,CLE,2030,-0.73,-0.71,-1.44,1.273,1.442,-1.18,-1.15,-2.33,-1.38,-0.7,-0.68,287
2018,2749,Jameer Nelson,NOP,903,-0.55,0.36,-0.19,1.246,1.473,-0.35,0.23,-0.12,-0.18,-0.53,0.35,137
2018,2772,Trevor Ariza,HOU,2049,-0.71,0.19,-0.52,1.202,1.531,-1.11,0.3,-0.81,-0.49,-0.68,0.18,193
2018,101107,Marvin Williams,CHO,1841,0.47,0.6,1.07,1.245,1.47,0.63,0.8,1.43,1.03,0.45,0.57,69
2018,101108,Chris Paul,HOU,1673,6.81,3.0,9.81,1.526,1.419,8.74,3.85,12.59,9.37,6.51,2.86,6
2018,101109,Raymond Felton,OKC,1203,-0.74,-0.7,-1.44,1.28,1.362,-0.68,-0.64,-1.32,-1.38,-0.71,-0.67,227
2018,101112,Channing Frye,CLE,613,-0.47,0.14,-0.33,1.286,1.358,-0.23,0.07,-0.16,-0.31,-0.45,0.13,143
2018,101123,Gerald Green,HOU,831,-1.46,-0.82,-2.28,1.399,1.381,-0.93,-0.52,-1.45,-2.18,-1.4,-0.79,234
2018,101127,Jarrett Jack,NYK,1343,-1.18,-1.54,-2.72,1.309,1.468,-1.21,-1.57,-2.79,-2.6,-1.13,-1.47,298
2018,101133,Ian Mahinmi,WAS,1011,-0.73,0.04,-0.7,1.264,1.408,-0.54,0.03,-0.51,-0.67,-0.7,0.04,166
2018,101139,CJ Miles,TOR,1202,0.22,0.66,0.88,1.417,1.398,0.2,0.58,0.78,0.85,0.21,0.63,89
2018,101141,Ersan Ilyasova,ATL,1526,0.42,-0.02,0.4,1.316,1.486,0.45,-0.02,0.43,0.38,0.4,-0.02,103
2018,101150,Lou Williams,LAC,2256,1.96,0.36,2.32,1.402,1.472,3.34,0.61,3.94,2.21,1.87,0.34,37
2018,101161,Amir Johnson,PHI,1036,0.14,0.81,0.95,1.229,1.463,0.12,0.66,0.77,0.91,0.14,0.77,92
2018,101162,Marcin Gortat,WAS,1936,0.76,1.64,2.4,1.263,1.398,1.07,2.29,3.36,2.29,0.73,1.56,43
2018,101181,Jose Calderon,CLE,825,-1.39,-0.93,-2.32,1.186,1.431,-0.91,-0.61,-1.53,-2.22,-1.33,-0.89,243
