player,team,minutes,prior_bpm,waa_per100,waa_wins
Nikola Jokić,DEN,2220.0,12.39,13.84,18.16
Giannis Antetokounmpo,MIL,2025.0,8.78,12.87,15.02
Shai Gilgeous-Alexander,OKC,2329.0,10.74,12.32,17.05
Victor Wembanyama,SAS,1373.0,5.76,7.2,6.48
Luka Dončić,LAL,1601.0,6.03,7.05,5.86
Dorian Finney-Smith,LAL,1607.0,-1.01,6.72,5.61
Luke Kornet,BOS,1198.0,2.82,6.36,4.49
Zion Williamson,NOP,775.0,5.7,6.16,2.7
Karl-Anthony Towns,NYK,2323.0,3.32,6.11,8.31
Kyrie Irving,DAL,1632.0,3.03,5.99,6.12
Jaylin Williams,OKC,664.0,3.32,5.98,2.36
Pascal Siakam,IND,2272.0,1.53,5.88,7.93
Amen Thompson,HOU,1985.0,3.74,5.76,6.88
Alperen Sengun,HOU,2141.0,4.05,5.51,7.11
John Collins,UTA,1086.0,0.76,5.3,3.43
Stephen Curry,GSW,1999.0,5.79,5.05,5.72
Franz Wagner,ORL,1846.0,2.79,5.01,5.54
Cade Cunningham,DET,2165.0,3.58,4.99,6.88
Ty Jerome,CLE,1200.0,3.71,4.8,3.38
Evan Mobley,CLE,1940.0,4.2,4.71,5.35
Domantas Sabonis,SAC,2178.0,4.8,4.68,6.32
Al Horford,BOS,1506.0,1.0,4.57,4.06
Ivica Zubac,LAC,2402.0,2.86,4.51,6.02
Chris Boucher,TOR,763.0,1.76,4.2,1.87
Alex Caruso,OKC,918.0,3.3,4.14,2.26
Steven Adams,HOU,703.0,0.07,3.98,1.69
Kawhi Leonard,LAC,1095.0,2.61,3.89,2.37
Dereck Lively II,DAL,771.0,-1.0,3.88,1.87
Day'Ron Sharpe,BRK,808.0,0.6,3.84,1.8
Josh Giddey,CHI,1852.0,2.7,3.8,4.05
Ja Morant,MEM,1358.0,2.06,3.77,3.02
Jaren Jackson Jr.,MEM,1993.0,2.07,3.65,4.29
Jakob Pöltl,TOR,1490.0,-1.0,3.54,3.09
Brandon Clarke,MEM,1041.0,0.57,3.49,2.14
