season,alpha,train,net_rmse,net_r2,wins_rmse,wins_mae,wins_r2,wins_slope,k_wins_per_net
2018,2000,"2015,2016,2017",3.57,0.563,9.29,6.81,0.576,0.66,2.61
2019,4000,"2016,2017,2018",2.73,0.73,7.24,6.2,0.721,0.77,2.66
2020,2000,"2017,2018,2019",2.83,0.677,9.92,8.12,0.645,0.78,2.52
2021,1000,"2018,2019,2020",4.14,0.425,11.06,9.26,0.44,0.58,2.47
2022,2000,"2019,2020,2021",3.81,0.463,8.44,6.48,0.522,0.84,2.21
2023,1000,"2020,2021,2022",3.95,0.567,6.6,5.51,0.656,0.72,2.13
2024,2000,"2021,2022,2023",3.66,0.6,7.63,5.85,0.684,1.16,2.11
2025,1000,"2022,2023,2024",4.06,0.602,8.78,7.05,0.622,0.8,2.27
2026,1000,"2023,2024,2025",4.85,0.489,9.79,8.46,0.502,0.82,2.24
POOLED,,270 team-seasons,3.78,0.542,8.85,7.08,0.552,0.76,
